ItemID,Category,Vendor,Name,Description,CPU/SoC,RAM_GB,Storage_GB,GPU,Screen_Size_Inch,OS,Price,Rating
LAP-001,Laptop,Asus,"Asus 17.0"" Business Laptop","17.0"" Asus laptop with AMD Ryzen 5 7640U, 16GB RAM, 512GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",AMD Ryzen 5 7640U,16.0,512.0,NVIDIA RTX 4060 Laptop,17.0,Windows 11 Pro,1255.34,4.2
LAP-002,Laptop,LG,"LG 17.0"" Business Laptop","17.0"" LG laptop with AMD Ryzen 7 7735HS, 8GB RAM, 512GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 7 7735HS,8.0,512.0,NVIDIA RTX 3050,17.0,Windows 11 Pro,1365.6,4.6
LAP-003,Laptop,Apple,Apple Laptop Model 155,"15.0"" Apple laptop with Apple M2 Pro, 32GB unified memory, 2048GB SSD, Integrated (Apple GPU 12‑core), macOS Sonoma.",Apple M2 Pro,32.0,2048.0,Integrated (Apple GPU 12‑core),15.0,macOS Sonoma,2438.29,4.0
LAP-004,Laptop,Samsung,"Samsung 14.0"" Business Laptop","14.0"" Samsung laptop with AMD Ryzen 7 7840U, 16GB RAM, 2048GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,2048.0,Integrated,14.0,Windows 11 Pro,1480.23,4.6
LAP-005,Laptop,Microsoft,"Microsoft 13.6"" Business Laptop","13.6"" Microsoft laptop with Intel Core i7-13700H, 16GB RAM, 2048GB SSD, Intel Iris Xe, Windows 11 Pro.",Intel Core i7-13700H,16.0,2048.0,Intel Iris Xe,13.6,Windows 11 Pro,1392.86,4.7
LAP-006,Laptop,HP,"HP 13.6"" Business Laptop","13.6"" HP laptop with Intel Core i7-1360P, 64GB RAM, 2048GB SSD, Integrated, Windows 11 Pro.",Intel Core i7-1360P,64.0,2048.0,Integrated,13.6,Windows 11 Pro,1682.88,4.7
LAP-007,Laptop,MSI,"MSI 17.0"" Business Laptop","17.0"" MSI laptop with Intel Core i5-1340P, 16GB RAM, 1024GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",Intel Core i5-1340P,16.0,1024.0,NVIDIA RTX 2050,17.0,Windows 11 Pro,1301.92,4.5
LAP-008,Laptop,Microsoft,"Microsoft 16.0"" Business Laptop","16.0"" Microsoft laptop with Intel Core Ultra 7 155H, 16GB RAM, 256GB SSD, Intel Iris Xe, Windows 11 Pro.",Intel Core Ultra 7 155H,16.0,256.0,Intel Iris Xe,16.0,Windows 11 Pro,1078.89,4.6
LAP-009,Laptop,Asus,"Asus 15.0"" Business Laptop","15.0"" Asus laptop with Intel Core Ultra 7 155H, 32GB RAM, 256GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",Intel Core Ultra 7 155H,32.0,256.0,NVIDIA RTX 3050,15.0,Windows 11 Pro,1438.11,4.0
LAP-010,Laptop,Asus,"Asus 14.0"" Business Laptop","14.0"" Asus laptop with AMD Ryzen 7 7840U, 16GB RAM, 256GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,256.0,Intel Iris Xe,14.0,Windows 11 Pro,1001.72,4.7
LAP-011,Laptop,Acer,"Acer 17.0"" Business Laptop","17.0"" Acer laptop with Intel Core i5-1340P, 8GB RAM, 512GB SSD, Integrated, Windows 11 Pro.",Intel Core i5-1340P,8.0,512.0,Integrated,17.0,Windows 11 Pro,836.56,4.4
LAP-012,Laptop,Lenovo,"Lenovo 13.6"" Business Laptop","13.6"" Lenovo laptop with AMD Ryzen 7 7735HS, 32GB RAM, 256GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,256.0,NVIDIA RTX 2050,13.6,Windows 11 Pro,1358.98,4.3
LAP-013,Laptop,Acer,"Acer 15.6"" Business Laptop","15.6"" Acer laptop with AMD Ryzen 7 7735HS, 64GB RAM, 512GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7735HS,64.0,512.0,AMD Radeon 780M,15.6,Windows 11 Pro,1611.14,4.5
LAP-014,Laptop,LG,"LG 14.0"" Business Laptop","14.0"" LG laptop with Intel Core Ultra 7 155H, 8GB RAM, 1024GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",Intel Core Ultra 7 155H,8.0,1024.0,NVIDIA RTX 3050,14.0,Windows 11 Pro,1526.7,4.5
LAP-015,Laptop,HP,"HP 14.0"" Business Laptop","14.0"" HP laptop with AMD Ryzen 7 7840U, 64GB RAM, 1024GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",AMD Ryzen 7 7840U,64.0,1024.0,NVIDIA RTX 4060 Laptop,14.0,Windows 11 Pro,1723.57,4.1
LAP-016,Laptop,LG,"LG 13.6"" Business Laptop","13.6"" LG laptop with AMD Ryzen 7 7840U, 16GB RAM, 2048GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,2048.0,Intel Iris Xe,13.6,Windows 11 Pro,1368.74,4.7
LAP-017,Laptop,Lenovo,"Lenovo 13.3"" Business Laptop","13.3"" Lenovo laptop with Intel Core i9-13900H, 16GB RAM, 512GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",Intel Core i9-13900H,16.0,512.0,NVIDIA RTX 4060 Laptop,13.3,Windows 11 Pro,1246.67,4.0
LAP-018,Laptop,Acer,"Acer 13.6"" Business Laptop","13.6"" Acer laptop with AMD Ryzen 7 7735HS, 64GB RAM, 1024GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 7 7735HS,64.0,1024.0,Integrated,13.6,Windows 11 Pro,1486.14,3.9
LAP-019,Laptop,Lenovo,"Lenovo 15.6"" Business Laptop","15.6"" Lenovo laptop with Intel Core Ultra 7 155H, 8GB RAM, 1024GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",Intel Core Ultra 7 155H,8.0,1024.0,NVIDIA RTX 3050,15.6,Windows 11 Pro,1421.87,4.3
